;s;p;o;source;support;pipeline
1197;map-reduce;requires;resource description framework (rdf);['heuristic'];[3.0];no
1037;mashup;publishes;linked data;['heuristic'];[4.0];no
475;mashup;selects;semantic web services;['openie'];[1];yes
46;mass customization;uses;semantic description;['luanyi'];[1];yes
942;matching algorithm;base;semantic web services;['heuristic'];[5.0];no
665;microdata;uses;linked data;['heuristic'];[1];yes
619;mobile applications;uses;linked data;['heuristic'];[2];yes
755;mobile applications;uses;semantic description;['heuristic'];[1];yes
1198;mobile devices;proposes;web ontology language;['heuristic'];[3.0];no
601;mobile services;uses;linked data;['luanyi'];[1];yes
263;model transformations;uses;ontology alignment;['luanyi'];[1];yes
1199;model transformations;converts;web ontology language;['heuristic'];[3.0];no
308;modeling languages;uses;web ontology language;['luanyi'];[4];yes
717;mse;uses;web ontology language;['heuristic'];[1];yes
726;multimedia contents;uses;web ontology language;['heuristic'];[1];yes
1038;music recommendation;links;linked data;['heuristic'];[4.0];no
770;named entity recognition;uses;linked data;['heuristic'];[2];yes
450;named entity recognition;is;resource description framework (rdf);['luanyi'];[1];yes
240;natural language interfaces;uses;ontology alignment;['luanyi'];[1];yes
820;natural language processing systems;publishes;linked data;['heuristic'];[7.0];no
634;natural language processing systems;uses;semantic description;['heuristic'];[1];yes
943;natural language processing systems;uses;semantic search engines;['heuristic'];[5.0];no
354;natural language processing systems;uses;web ontology language;['luanyi'];[1];yes
1200;natural languages;converts;web ontology language;['heuristic'];[3.0];no
1201;network management;produces;resource description framework (rdf);['heuristic', 'heuristic'];[3.0, 2.0];no
715;network management;uses;semantic web services;['heuristic'];[1];yes
821;on-line learning;produces;linked data;['heuristic'];[7.0];no
4;ontologies;provides;linked data;['heuristic'];[108];yes
304;ontologies;supports;linked data;['openie'];[1];yes
199;ontologies;proposes;ontology alignment;['openie'];[1];yes
99;ontologies;uses;ontology alignment;['heuristic', 'heuristic', 'luanyi'];[204, 338, 2];yes
322;ontologies;represents;resource description framework (rdf);['heuristic'];[159];yes
438;ontologies;uses;resource description framework (rdf);['openie', 'heuristic'];[2, 91];yes
537;ontologies;produces;semantic description;['heuristic'];[56];yes
451;ontologies;produces;semantic descriptions;['openie'];[1];yes
499;ontologies;provides;semantic descriptions;['heuristic'];[23];yes
777;ontologies;uses;semantic search engine;['heuristic'];[15];yes
545;ontologies;executes;semantic search engines;['openie'];[2];yes
115;ontologies;provides;semantic search engines;['heuristic'];[151];yes
312;ontologies;uses;semantic web services;['heuristic'];[226];yes
86;ontologies;uses;web ontology language;['heuristic', 'openie', 'heuristic', 'openie', 'luanyi', 'luanyi'];[391, 11, 418, 9, 25, 8];yes
1039;ontology alignment;supports;access control;['heuristic'];[4.0];no
718;ontology alignment;uses;answering queries;['heuristic'];[7];yes
305;ontology alignment;uses;argumentation;['luanyi', 'heuristic'];[2, 1];yes
14;ontology alignment;uses;automated reasoning;['luanyi'];[1];yes
1040;ontology alignment;base;background knowledge;['heuristic'];[4.0];no
536;ontology alignment;uses;background knowledge;['luanyi'];[1];yes
290;ontology alignment;uses;bayesian networks;['luanyi', 'heuristic'];[1, 1];yes
1202;ontology alignment;executes;belief propagation;['heuristic'];[3.0];no
655;ontology alignment;uses;clone detection;['heuristic'];[1];yes
1203;ontology alignment;proposes;clustering algorithms;['heuristic'];[3.0];no
944;ontology alignment;is;communication;['heuristic'];[5.0];no
488;ontology alignment;produces;communication;['openie'];[1];yes
662;ontology alignment;supports;communication;['heuristic'];[8];yes
945;ontology alignment;uses;communication;['heuristic'];[5.0];no
560;ontology alignment;is;computer science;['luanyi'];[1];yes
189;ontology alignment;executes;concept similarity;['heuristic'];[21];yes
272;ontology alignment;uses;controlled natural language;['luanyi'];[1];yes
335;ontology alignment;is;data integration;['heuristic'];[20];yes
946;ontology alignment;provides;data integration;['heuristic'];[5.0];no
1204;ontology alignment;provides;data mining;['heuristic'];[3.0];no
638;ontology alignment;uses;decision tables;['heuristic'];[1];yes
866;ontology alignment;uses;description logics;['heuristic', 'heuristic'];[6.0, 1.0];no
1041;ontology alignment;proposes;design knowledge;['heuristic'];[4.0];no
376;ontology alignment;uses;distributed environments;['luanyi'];[1];yes
